[2024-10-07 20:28:11] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:28:12] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0185e0c0d72a0f8a11b4970635f93889).
[2024-10-07 20:32:26] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:32:28] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 5f423ccc87b28a686ff6667901d9a120).
[2024-10-07 20:32:51] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:32:52] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d8b22b98384a892ae7f0a09e61a5b4fe).
[2024-10-07 20:34:44] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:34:45] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0e2a054de09a147a485d2657297bec9d).
[2024-10-07 20:35:41] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:35:42] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: aae1df0ca9fdd748c443ffffd04387c3).
[2024-10-07 20:37:55] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:37:56] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0d22901a0229b7b6d3ef8de009c65ebe).
[2024-10-07 20:44:39] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:44:39] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: aa073c9660ded6cb18a8847ee744d38e).
[2024-10-07 20:48:39] [INFO    ] discord.client: logging in using static token
[2024-10-07 20:48:40] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 97bec81ff87b7a524ae76ac471d3afa7).
[2024-10-07 20:48:42] [INFO    ] discord: BACKGROUND TASK STARTED
[2024-10-07 20:48:42] [INFO    ] discord: GUILD FOUND
[2024-10-07 20:48:42] [INFO    ] discord: CHANNEL FOUND
[2024-10-07 20:48:42] [INFO    ] discord: EXECUTED BACKGROUND JOB
[2024-10-07 20:49:12] [INFO    ] discord: EXECUTED BACKGROUND JOB
